Title,Note,URL,Tags,Cuisine,Latitude,Longitude,Visited,City,State,Type
Chome,,https://www.google.com/maps/place/Chome/data=!4m2!3m1!1s0x808f7f738799d151:0x6f84ecee6aed914d,,Japanese,37.7487281,-122.4215103,,San Francisco,CA,Restaurant
La Marcha Tapas Bar,,https://www.google.com/maps/place/La+Marcha+Tapas+Bar/data=!4m2!3m1!1s0x80857ec1e75a2565:0x18e96beacbeefbf5,,Spanish,37.7614,-122.3965,,,,Bar
Pizza Ponte,,https://www.google.com/maps/place/Pizza+Ponte/data=!4m2!3m1!1s0x80857e68a43ae401:0xd72dabc361f8fb56, Pizza,Italian,37.7622,-122.3964,,,,Restaurant
Mama's Boy,,https://www.google.com/maps/place/Mama's+Boy/data=!4m2!3m1!1s0x808f818be2f7967d:0x6e3b42ccab8b3e54, Pizza,Italian,37.8113,-122.2664,,Oakland,CA,Restaurant
Rintaro,,https://www.google.com/maps/place/Rintaro/data=!4m2!3m1!1s0x808f7e26791dc281:0xe147a1d9e33e11d4,,Japanese,37.7689,-122.4151,,San Francisco,CA,Restaurant
Hana Izumi,,https://www.google.com/maps/place/Hana+Izumi/data=!4m2!3m1!1s0x808f7716ce6fd605:0xe62ca9807fb68df8,,Japanese,37.5993,-122.3873,,Millbrae,CA,Restaurant
"InterContinental San Francisco, an IHG Hotel",Rooftop restaurant ,"https://www.google.com/maps/place/InterContinental+San+Francisco,+an+IHG+Hotel/data=!4m2!3m1!1s0x80858086da575917:0xead83531aa8f25bb",,,37.7818,-122.4047,,,,Hotel
Hilton San Francisco Union Square,Rooftop bar,https://www.google.com/maps/place/Hilton+San+Francisco+Union+Square/data=!4m2!3m1!1s0x8085808fa0472279:0x49345c4565f1667a,,,37.785734,-122.410437,,,,Hotel
San Francisco Marriott Marquis,Rooftop bar,https://www.google.com/maps/place/San+Francisco+Marriott+Marquis/data=!4m2!3m1!1s0x8085808636673e71:0xebc2cf7c5bf2d655,,,37.785426,-122.404493,,,,Hotel
Caffe Teatro,,https://www.google.com/maps/place/Caffe+Teatro/data=!4m2!3m1!1s0x808f80b183b3d067:0x3eaabdb7467e9240,,Italian,37.8056,-122.2713,,Oakland,CA,Café / Coffee
HINOYA,,https://www.google.com/maps/place/HINOYA/data=!4m2!3m1!1s0x60188e9e5250ca21:0x6db3554cd9b3c98e,,Japanese,35.6762,139.7395,,,,Restaurant
A16,,https://www.google.com/maps/place/A16/data=!4m2!3m1!1s0x80857de91dfe534d:0x346ad576c2aa0f36,,Italian,37.7614,-122.3965,,,,Restaurant
Poesia Café,,https://www.google.com/maps/place/Poesia+Caf%C3%A9/data=!4m2!3m1!1s0x8085810016a55223:0xf1a59a276c783aaf,,Café,37.7928,-122.3988,,,,Café / Coffee
San Tung,,https://www.google.com/maps/place/San+Tung/data=!4m2!3m1!1s0x8085875d83e10257:0x131f778c0e458770,,Chinese,37.7741,-122.4597,,,,Restaurant
Yodobashi Camera Shinjuku West Main Store,,https://www.google.com/maps/place/Yodobashi+Camera+Shinjuku+West+Main+Store/data=!4m2!3m1!1s0x60188cd13c14d187:0x30f936a044710fd5,,,35.689304,139.697779,,,,Restaurant
Yodobashi Akiba,,https://www.google.com/maps/place/Yodobashi+Akiba/data=!4m2!3m1!1s0x60188ea7d9cc4f19:0x7bb917c6708b7376,,,35.698784,139.774725,,,,Restaurant
Kemuri Japanese Barú,,https://www.google.com/maps/place/Kemuri+Japanese+Bar%C3%BA/data=!4m2!3m1!1s0x808fa24d1bc09227:0x1dc0af526beaee6,,Japanese,37.7779,-122.2755,,,,Bar
Everlane,,https://www.google.com/maps/place/Everlane/data=!4m2!3m1!1s0x808f7e22365aa02f:0x279df63f1c4d3bf4,,,40.722877,-73.994749,,,,Shop
Forage Kitchen - Event Space,,https://www.google.com/maps/place/Forage+Kitchen+-+Event+Space/data=!4m2!3m1!1s0x808f80ab68cd2b43:0x628a2676168a53c0,,,37.8147,-122.2672,,,,Restaurant
Sol Food,Sam was served a steak sandwich ,https://www.google.com/maps/place/Sol+Food/data=!4m2!3m1!1s0x80859aa87422b909:0x83d9fe9719bb8a36,,Puerto Rican,37.7849,-122.3895,,,,Restaurant
YAYOI Hillsdale,Yabe ,https://www.google.com/maps/place/YAYOI+Hillsdale/data=!4m2!3m1!1s0x808f9ff619a4dc5d:0x9e29772bc288e60a,,Japanese,37.5373,-122.3005,,,,Restaurant
Arquet Restaurant,,https://www.google.com/maps/place/Arquet+Restaurant/data=!4m2!3m1!1s0x808581002761e319:0xb47cd44ca8af437b,,Peruvian,37.7927,-122.3945,,,,Restaurant
Sforno Pizzeria Napoletana,Portafoglio pizza,https://www.google.com/maps/place/Sforno+Pizzeria+Napoletana/data=!4m2!3m1!1s0x8085817d587624ef:0x311117103b5ecadf,,Italian,37.7624,-122.3967,,,,Restaurant
Z & Y Restaurant,,https://www.google.com/maps/place/Z+%26+Y+Restaurant/data=!4m2!3m1!1s0x808580f4bbcfeb99:0x3e467f1b1d256432,,Sichuan,37.7927,-122.3986,,,,Restaurant
Bernal Cutlery,,https://www.google.com/maps/place/Bernal+Cutlery/data=!4m2!3m1!1s0x808f7e5bfe0b4d43:0x13c52491a71d9de0,,,37.795276,-122.393372,,,,Shop
Tokyo Cream,,https://www.google.com/maps/place/Tokyo+Cream/data=!4m2!3m1!1s0x80858771c315df75:0x9b67f33646ccbd62,,Japanese,37.7637585,-122.4778566,,San Francisco,CA,Ice Cream / Dessert
GADA,,https://www.google.com/maps/place/GADA/data=!4m2!3m1!1s0x808f7f00297c155f:0xc119147366ad470b,,Ethiopian,37.7629134,-122.4343726,,San Francisco,CA,Restaurant
Clio’s Books,,https://www.google.com/maps/place/Clio%E2%80%99s+Books/data=!4m2!3m1!1s0x808f87067681ab93:0x45332db5741e13a4,,,37.8072,-122.2589,,,,Shop
Deli Board,Sandwich,https://www.google.com/maps/place/Deli+Board/data=!4m2!3m1!1s0x80858083ba147b83:0x7f293054a3647a6,,Sandwiches,37.7776,-122.407,,San Francisco,CA,Restaurant
Fish.,,https://www.google.com/maps/place/Fish./data=!4m2!3m1!1s0x8085850475ffcf03:0x9a43256e5e3b4c13,,Seafood,37.8681,-122.4977,,Sausalito,CA,Restaurant
Roast & Toast Cafe,Booza ice cream,https://www.google.com/maps/place/Roast+%26+Toast+Cafe/data=!4m2!3m1!1s0x80857f20ff759041:0x1f9aaf7b2f876260,,Café,37.7624,-122.3962,,,,Café / Coffee
Bakesale Betty,,https://www.google.com/maps/place/Bakesale+Betty/data=!4m2!3m1!1s0x80857dedfca72801:0xc9891af5696244bc,,Bakery,37.7614,-122.3965,,,,Bakery
Cafe Noir,,https://www.google.com/maps/place/Cafe+Noir/data=!4m2!3m1!1s0x80857f007f720197:0x31deebbaf643e25b,,Café,37.7622,-122.3965,,,,Café / Coffee
Phoenix Hotel,,https://www.google.com/maps/place/Phoenix+Hotel/data=!4m2!3m1!1s0x80858090b9d04cef:0xbbf78c7fac97aa74,,Vietnamese,18.538017,73.910938,,,,Hotel
Uzuki,,https://www.google.com/maps/place/Uzuki/data=!4m2!3m1!1s0x89c25965763e5337:0x1615a7413420279e,,Japanese,40.7245,-73.9534,,,,Restaurant
La Cigale,,https://www.google.com/maps/place/La+Cigale/data=!4m2!3m1!1s0x808f7f000940f283:0xcf3245a76e60b5b5,,French,37.73434,-122.43344,,San Francisco,CA,Restaurant
Café Colucci,,https://www.google.com/maps/place/Caf%C3%A9+Colucci/data=!4m2!3m1!1s0x80857dd7382e4f01:0xeef404a132c138b8,,Ethiopian,37.7614,-122.3962,,,,Restaurant
Steep Ravine Trail,Hiking,https://www.google.com/maps/place/Steep+Ravine+Trail/data=!4m2!3m1!1s0x8085915d86ecb2a9:0x9cd8495c04511945,,,37.750078,-122.454812,,,,Park / Nature
Butter,Dancing,https://www.google.com/maps/place/Butter/data=!4m2!3m1!1s0x808f7e262f3caabd:0x1990bb2f6c360c43,,,32.525057,74.036393,,,,Restaurant
Tacos Guadalajara #2,,https://www.google.com/maps/place/Tacos+Guadalajara+%232/data=!4m2!3m1!1s0x808f876e723c611b:0xdedf22610ba14082,,Mexican,37.784027,-122.222969,,Oakland,CA,Restaurant
Safari West,,https://www.google.com/maps/place/Safari+West/data=!4m2!3m1!1s0x808440f548e59cb3:0x93f0b90485ffa2d7,,,38.557332,-122.695392,,,,Experience
Maple & Ash,Founded by same guys as Etta in Culver City,https://www.google.com/maps/place/Maple+%26+Ash/data=!4m2!3m1!1s0x872b0bbd42155555:0x9571ef97ccca92d4,,Steakhouse,34.0522,-118.2437,,,,Restaurant
Butterfly,Etta used to be here,https://www.google.com/maps/place/Butterfly/data=!4m2!3m1!1s0x80c2b981605aaaab:0xc7aba89f2216fffa,,American,32.7157,-117.1611,,,,Restaurant
Ratto's,,https://www.google.com/maps/place/Ratto's/data=!4m2!3m1!1s0x808f80b73da00df9:0x9e74eeede3ecec00,,Italian,37.8012,-122.2749,,Oakland,CA,Restaurant
Brother's Deli & Co,Sandwiches,https://www.google.com/maps/place/Brother's+Deli+%26+Co/data=!4m2!3m1!1s0x808f870033f5d039:0xc8fb658a0f40c0e1,,Sandwiches,37.8022774,-122.241391,,Oakland,CA,Restaurant
Oakland Secret,,https://www.google.com/maps/place/Oakland+Secret/data=!4m2!3m1!1s0x808f80b9b64bff25:0x63372c1ccf6c9b03,,Bar,37.8044,-122.2712,,,,Bar
The Kezar Pub,Wings,https://www.google.com/maps/place/The+Kezar+Pub/data=!4m2!3m1!1s0x808587516885bfc9:0xa0bd63d26122a20d,,American,37.7679,-122.453,,San Francisco,CA,Bar
Great Western Power Company,Climbing ,https://www.google.com/maps/place/Great+Western+Power+Company/data=!4m2!3m1!1s0x808f80adc4839389:0x65986509e72dca4c,,,37.809917,-122.270132,,,,Restaurant
Sidestreet Pho,,https://www.google.com/maps/place/Sidestreet+Pho/data=!4m2!3m1!1s0x808f86bdce9c341d:0xf54159e5c9e2e808,,Vietnamese,37.7628435,-122.2452604,,Alameda,CA,Restaurant
Red Bay Coffee,,https://www.google.com/maps/place/Red+Bay+Coffee/data=!4m2!3m1!1s0x808f8777c955058f:0x7448685fc38ec945,,Café,37.7761,-122.2279,,Oakland,CA,Café / Coffee
Monster Phở,,https://www.google.com/maps/place/Monster+Ph%E1%BB%9F/data=!4m2!3m1!1s0x80857dfbd0312461:0xf38bc4f7729045da,,Vietnamese,37.7614,-122.3962,,,,Restaurant
Sequoia Diner,,https://www.google.com/maps/place/Sequoia+Diner/data=!4m2!3m1!1s0x808f8647d89b15b5:0x9da7b9c3be928bca,,American,37.7918,-122.1992,,Oakland,CA,Restaurant
Millbrae Pancake House,,https://www.google.com/maps/place/Millbrae+Pancake+House/data=!4m2!3m1!1s0x808f779fcb767af1:0x98742526d7b2ff32,,American,37.5994,-122.3428,,,,Restaurant
